09-02-2024 14:01:43 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 14:01:43] "[31m[1mPOST /auth/sign_up HTTP/1.1[0m" 422 -
09-02-2024 14:01:56 INFO       [_internal.py:96]  * Detected change in 'C:\\Users\\tmudgal\\OneDrive - WatchGuard Technologies Inc\\code\\learning\\quiz_master\\src\\schemas\\auth.py', reloading
09-02-2024 14:01:56 INFO       [_internal.py:96]  * Restarting with stat
09-02-2024 14:01:58 INFO       [config.py:15] setting up configs
09-02-2024 14:01:58 INFO       [config.py:37] setting up config completed
09-02-2024 14:01:58 INFO       [exceptions.py:126] registering error handlers
09-02-2024 14:01:58 INFO       [exceptions.py:132] registering error handlers completed
09-02-2024 14:01:58 INFO       [__init__.py:25] registering blueprints
09-02-2024 14:01:58 INFO       [__init__.py:34] registering blueprints completed
09-02-2024 14:01:58 INFO       [jwt.py:9] registering jwt system
09-02-2024 14:01:58 INFO       [jwt.py:14] registering jwt system completed
09-02-2024 14:01:58 WARNING    [_internal.py:96]  * Debugger is active!
09-02-2024 14:01:58 INFO       [_internal.py:96]  * Debugger PIN: 482-885-147
09-02-2024 14:02:00 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 14:02:00] "[35m[1mPOST /auth/sign_up HTTP/1.1[0m" 201 -
09-02-2024 14:02:05 INFO       [_internal.py:96]  * Detected change in 'C:\\Users\\tmudgal\\OneDrive - WatchGuard Technologies Inc\\code\\learning\\quiz_master\\src\\schemas\\auth.py', reloading
09-02-2024 14:02:05 INFO       [_internal.py:96]  * Restarting with stat
09-02-2024 14:02:06 INFO       [config.py:15] setting up configs
09-02-2024 14:02:06 INFO       [config.py:37] setting up config completed
09-02-2024 14:02:06 INFO       [exceptions.py:126] registering error handlers
09-02-2024 14:02:06 INFO       [exceptions.py:132] registering error handlers completed
09-02-2024 14:02:06 INFO       [__init__.py:25] registering blueprints
09-02-2024 14:02:06 INFO       [__init__.py:34] registering blueprints completed
09-02-2024 14:02:06 INFO       [jwt.py:9] registering jwt system
09-02-2024 14:02:06 INFO       [jwt.py:14] registering jwt system completed
09-02-2024 14:02:06 WARNING    [_internal.py:96]  * Debugger is active!
09-02-2024 14:02:06 INFO       [_internal.py:96]  * Debugger PIN: 482-885-147
09-02-2024 14:02:28 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 14:02:28] "[35m[1mPOST /auth/sign_up HTTP/1.1[0m" 201 -
09-02-2024 14:03:51 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 14:03:51] "[35m[1mPOST /auth/sign_up HTTP/1.1[0m" 201 -
09-02-2024 14:08:01 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 14:08:01] "[35m[1mPOST /auth/sign_up HTTP/1.1[0m" 201 -
09-02-2024 14:46:17 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 14:46:17] "POST /auth/sign_in HTTP/1.1" 200 -
09-02-2024 14:46:17 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 14:46:17] "POST /auth/refresh HTTP/1.1" 200 -
09-02-2024 14:46:17 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 14:46:17] "[35m[1mPOST /quizzes HTTP/1.1[0m" 201 -
09-02-2024 14:46:17 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 14:46:17] "GET /quizzes HTTP/1.1" 200 -
09-02-2024 14:46:17 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 14:46:17] "[35m[1mPOST /quizzes/2bf060e4-1e84-4054-8223-e9ba599c16fd/questions HTTP/1.1[0m" 201 -
09-02-2024 14:46:17 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 14:46:17] "GET /quizzes/2bf060e4-1e84-4054-8223-e9ba599c16fd/questions HTTP/1.1" 200 -
09-02-2024 14:46:18 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 14:46:18] "[35m[1mPOST /questions/ef9381c5-6c02-4d31-9176-a827d3dc89b1/options HTTP/1.1[0m" 201 -
09-02-2024 14:46:18 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 14:46:18] "GET /questions/ef9381c5-6c02-4d31-9176-a827d3dc89b1 HTTP/1.1" 200 -
